Date,Close,High,Low,Open,Volume
2011-03-29,101.03477478027344,101.0654187408259,99.94673295922307,100.27620522491115,129798800
2011-03-30,101.73206329345703,102.03089165314213,101.41790710484484,101.56349225038258,135835000
2011-03-31,101.5941390991211,101.87765132963119,101.48686767700347,101.60180885965616,132537100
2011-04-01,102.02323913574219,102.4983083791105,101.778052290009,102.22246587034205,153850100
2011-04-04,102.10752868652344,102.4216849405841,101.8163700264984,102.23778603027074,100768900
2011-04-05,102.09222412109375,102.54429584036161,101.86235338006739,101.90832518993035,120791500
2011-04-06,102.41399383544922,102.67450843891153,102.00022434363828,102.58256485926752,120411600
2011-04-07,102.15350341796875,102.6592049174477,101.64779022678057,102.23011918857623,170731500
2011-04-08,101.801025390625,102.66686654099576,101.37959776470524,102.60556691434303,147945400
2011-04-11,101.49456024169922,102.25311843578504,101.24936168364793,101.90831819377233,121385400
2011-04-12,100.73597717285156,101.1267491704319,100.36819107561658,100.92753413686906,161187400
2011-04-13,100.72828674316406,101.27995986593046,100.34517293820889,101.20334411996272,162059000
2011-04-14,100.80489349365234,100.95813666361842,99.81646510942234,100.1459373402642,161220400
2011-04-15,101.17271423339844,101.42557081206732,100.6899986665837,100.98882704288177,170006700
2011-04-18,100.0387191772461,101.1650751979111,99.23417749224102,100.06170508038534,210759300
2011-04-19,100.61336517333984,100.64402083105915,99.9467507642919,100.19193756750758,124258800
2011-04-20,101.98493194580078,102.2071328788946,101.74739149025397,101.8163608827465,156133800
2011-04-21,102.50594329833984,102.55191509080036,101.98491406151116,102.51360136651422,135935400
2011-04-25,102.39868927001953,102.56726033213185,102.06154714579486,102.42933323962671,65757100
2011-04-26,103.27985382080078,103.48673862812888,102.60558121704724,102.71285265571554,146600000
2011-04-27,103.95414733886719,104.10739059460161,103.0576620165243,103.47908973857719,143031000
2011-04-28,104.29127502441406,104.42919042789731,103.75491785801916,103.77023399726662,124791100
2011-04-29,104.53644561767578,104.64372872599381,104.19164547083541,104.32957254459608,115094100
2011-05-02,104.37554168701172,105.11111375602337,104.16865692748028,105.02683993027019,126278700
2011-05-03,104.00006866455078,104.35253850419018,103.47136975094433,104.17630943022313,138375000
2011-05-04,103.31048583984375,104.00008611749709,102.8507445269367,103.95411432454783,182678500
2011-05-05,102.37570190429688,103.40244440122126,101.92363028588063,102.73582992349868,226900000
2011-05-06,102.82776641845703,103.92347823079967,102.42932469654079,103.394779188426,222787200
