Date,Close,High,Low,Open,Volume
2011-04-08,11.39869213104248,11.618270439689466,11.321194629049769,11.605353778757152,82734700
2011-04-11,11.282443046569824,11.469730908131973,11.21140388511557,11.437439260379668,56427900
2011-04-12,11.263071060180664,11.353485224498662,11.211405647456008,11.301819811774006,65853700
2011-04-13,11.140362739562988,11.301817272020422,11.120987752219978,11.301817272020422,60912400
2011-04-14,11.088699340820312,11.1209897604226,11.01120060925406,11.075782680259179,58261800
2011-04-15,10.998286247253418,11.17265625453925,10.959536261811529,11.101617078163788,82667700
2011-04-18,10.804539680480957,10.914328838894598,10.714125514187593,10.90141217748108,86550700
2011-04-19,10.72703742980957,10.823909883951963,10.668913710964118,10.752869509407502,76498000
2011-04-20,10.933703422546387,10.953077182142255,10.843289259630776,10.914328431149935,86372600
2011-04-21,10.940160751342773,10.972451168913135,10.888495344149911,10.940160751342773,57013900
2011-04-25,11.04349422454834,11.08224298132198,10.914330059568522,10.933705053855725,42745400
2011-04-26,11.314736366271973,11.392233868728297,11.069324734292229,11.114531816025185,81600000
2011-04-27,11.101614952087402,11.39223239644126,11.030574557516259,11.366400309561119,97724100
2011-04-28,11.166196823120117,11.224319325541414,11.09515642978238,11.108073088898406,52900000
2011-04-29,11.314736366271973,11.34056845649055,11.146823468549146,11.185572219777308,137455300
2011-05-02,11.353487968444824,11.36640463269788,11.230782121642608,11.308280875360035,46838800
2011-05-03,11.243696212768555,11.347027039543864,11.166198708587384,11.321194948750346,56900000
2011-05-04,11.282443046569824,11.340566780723567,11.15973848051229,11.217862214666033,58190500
2011-05-05,11.28890323638916,11.418067385082189,11.269529476345635,11.28890323638916,67908600
2011-05-06,11.340567588806152,11.430982977154834,11.301818840542717,11.385774667080245,60439500
2011-05-09,11.366400718688965,11.411607796206741,11.28244366175554,11.321193641171186,46982400
2011-05-10,11.489105224609375,11.585977698597919,11.39868984799311,11.39868984799311,68810700
2011-05-11,11.482649803161621,11.61827105472857,11.398692734457715,11.508481894593142,129200000
2011-05-12,10.933703422546387,11.030575915927484,10.746415534449094,10.953077182142255,238300000
2011-05-13,10.901412963867188,10.953078381447574,10.836832115742244,10.88849753332263,80195400
2011-05-16,10.72058391571045,10.894955150542879,10.72058391571045,10.862663496795777,81604100
2011-05-17,10.746417999267578,10.798083423040946,10.630170487827282,10.6560038156144,78204700
2011-05-18,10.752873420715332,10.759331750914026,10.552670111758017,10.74641509051664,92724700
2011-05-19,10.759328842163086,10.869117962258636,10.694746789436257,10.817452566437213,68259900
2011-05-20,10.675373077392578,10.798077623070505,10.662456420436941,10.772245540959437,50894200
2011-05-23,10.559130668640137,10.617254420884825,10.475173590153014,10.597879426202997,68300000
2011-05-24,10.507460594177246,10.630165144080305,10.494543936776846,10.591416403679352,42476600
2011-05-25,10.455798149108887,10.501005230976586,10.404132736717143,10.429964827012718,59601900
2011-05-26,10.494546890258789,10.572045624671423,10.429964816881693,10.436423147399463,64698900
2011-05-27,10.630167961120605,10.662459613179033,10.488088387465247,10.488088387465247,49534400
2011-05-31,10.849747657775879,10.862664320253883,10.662460979047742,10.714126397159028,56638700
2011-06-01,10.57850456237793,10.830374569154154,10.565589130897742,10.823916237513656,61885900
2011-06-02,10.494546890258789,10.668918118836771,10.481630229223251,10.53329564156481,62685200
2011-06-03,10.33954906463623,10.45579653249429,10.320174076059752,10.423504884866826,74861100
2011-06-06,10.32663631439209,10.442883826251803,10.255596510422507,10.346011310302332,58219800
2011-06-07,10.016639709472656,10.358923774305575,10.003723050769443,10.358923774305575,107881100
2011-06-08,9.881019592285156,10.061848534300358,9.822895849805198,9.952059379816056,100248400
2011-06-09,9.88747787475586,9.990808698262862,9.848728507990588,9.89393558929983,67591200
2011-06-10,9.764772415161133,9.919768656060441,9.693732625390695,9.887478234464986,78257800
2011-06-13,9.726022720336914,9.86810228610885,9.713106060230237,9.777688128963119,63586100
2011-06-14,9.738937377929688,9.82935213810257,9.635606575389346,9.758311749430959,91526300
2011-06-15,9.583940505981445,9.680812972634579,9.54519114978012,9.661438602483976,92323100
2011-06-16,9.719565391540527,9.751856429233417,9.5581108189764,9.583943525950648,73024300
2011-06-17,9.667903900146484,9.816441871539576,9.622696182674206,9.803525820762186,80876700
2011-06-20,9.777690887451172,9.797065267176846,9.642068997570592,9.648526713545532,54052600
2011-06-21,10.016639709472656,10.055388453781925,9.784144780016307,9.816435810874154,85430700
2011-06-22,9.919769287109375,10.100598862229074,9.900394909739534,9.997267412489096,48404300
2011-06-23,9.99080753326416,10.003723576746289,9.738938218410365,9.803520283521662,63981500
2011-06-24,9.64206600189209,9.97143281849981,9.635607672023252,9.97143281849981,177861600
2011-06-27,9.719565391540527,9.784146851025989,9.64852498543611,9.64852498543611,76915200
2011-06-28,9.771228790283203,9.777687119669887,9.661439654310344,9.738937759249977,52428700
2011-06-29,9.906850814819336,9.945599560070146,9.764770645132563,9.803520006283573,47452800
2011-06-30,10.081221580505371,10.113512612725227,9.906850991958494,9.91976703530631,52609600
2011-07-01,10.242677688598633,10.300801432283226,10.074765404054624,10.094139779982719,65130300
2011-07-05,10.158400535583496,10.320468188521026,10.080608136362166,10.288054534285713,44364600
2011-07-06,10.0870943069458,10.164886731741056,10.015784120537392,10.125990210223812,43221700
2011-07-07,10.307504653930664,10.365849120214362,10.119506161593838,10.13895472918118,70174000
2011-07-08,10.203781127929688,10.307504345670202,10.087092817091184,10.216746839266825,50343200
2011-07-11,10.00281810760498,10.125989281001388,9.9379907837716,10.080610525261529,44407800
2011-07-12,10.113025665283203,10.346402952362931,9.996336712623703,10.002819569602403,88242600
2011-07-13,10.093574523925781,10.275090763668953,10.048195773109544,10.177849788469587,47732700
2011-07-14,10.00281810760498,10.216747410720284,9.98336953951146,10.087093381292703,50153300
2011-07-15,10.106539726257324,10.177849276558945,10.015781610950558,10.061160977723482,54798300
2011-07-18,10.00930118560791,10.074128514883093,9.89909571502287,10.041714850245501,45271200
2011-07-19,10.151921272277832,10.177852081191164,9.99633641879784,10.080611702325982,58280600
2011-07-20,10.255642890930176,10.339918161170687,10.10005806198115,10.138954578337984,60146400
2011-07-21,10.599228858947754,10.677020670091528,10.255644856373547,10.255644856373547,93220600
2011-07-22,10.670536041259766,10.69646746498752,10.534399776124072,10.657571565874228,48364800
2011-07-25,10.553848266601562,10.618674352489348,10.476055232466557,10.5927441654299,33870200
2011-07-26,10.560330390930176,10.625156472327204,10.501985928490255,10.54088182462412,40154000
2011-07-27,10.171368598937988,10.378815675727413,10.100059033371158,10.320471204700363,80752600
2011-07-28,10.37881088256836,10.566808685128633,10.26212199440371,10.34639723382941,79457800
2011-07-29,10.352885246276855,10.456607861098501,10.24267915658986,10.307505868133292,66844900
2011-08-01,10.262124061584473,10.53439777665562,10.080608457616727,10.424191719686867,60652700
2011-08-02,10.02226448059082,10.249159460069599,10.015781625579637,10.11950483280225,56227200
2011-08-03,10.041712760925293,10.074126418818764,9.840749194816155,10.03522990569878,70369500
2011-08-04,9.607370376586914,9.93150568611537,9.600888140258016,9.899092649753756,92196500
2011-08-05,9.685161590576172,9.905573672980648,9.309164727029348,9.665713647493119,122400100
2011-08-08,9.036893844604492,9.484201001469387,9.036893844604492,9.341581265546173,125326200
2011-08-09,9.114688873291016,9.15358477999849,8.622002854574898,9.121171112249401,144579300
2011-08-10,8.900757789611816,9.224893189698001,8.881309838713625,9.03041244423766,146477100
2011-08-11,10.32047176361084,10.52791823339542,9.957439823248576,10.015784297435301,286920000
2011-08-12,10.365851402282715,10.501988932408475,10.138956961298149,10.333437734073692,95554300
2011-08-15,10.391776084899902,10.417706260745591,10.262121496238068,10.37881037873816,65125900
2011-08-16,10.37232780456543,10.411223687618758,10.177846534582045,10.281569713709473,58987000
2011-08-17,10.275094985961914,10.41771415234418,10.145440299084413,10.352887427144795,54508900
2011-08-18,9.730544090270996,10.028748659522284,9.659233912212303,9.976887049064597,104626600
2011-08-19,9.775920867919922,10.022263776896672,9.659231958868029,9.672197667980035,90584300
2011-08-22,9.730544090270996,9.983369286692435,9.691647573308147,9.873163209910057,68733900
2011-08-23,10.00930118560791,10.00930118560791,9.730545153498783,9.730545153498783,57774500
2011-08-24,10.02226448059082,10.087091794224493,9.827783157928877,9.957437166957146,59278900
2011-08-25,9.775920867919922,10.074125376866615,9.737024977061983,10.06116028599365,54369300
2011-08-26,9.931506156921387,10.080608727857028,9.737025456576129,9.775921349349552,49949400
2011-08-29,10.203781127929688,10.216746839266825,9.983368981111527,10.054679156987488,39188200
2011-08-30,10.13247299194336,10.229713367658748,9.976888143503045,10.158403800016744,51028200
2011-08-31,10.158400535583496,10.3399161337666,10.074125281867296,10.197296426074645,50687300
2011-09-01,10.255642890930176,10.372331821761522,10.11950601103999,10.171367620689665,73754200
2011-09-02,9.989852905273438,10.190817124819743,9.918543340009503,10.054680232414622,55499700
